"","crn","department","course_number","title","instructors","credits","time","days","computational","campus","quarter","location"
"1",12203,"Behavioral Neuroscience","640-0","Sys/Behavioral Neuroscience","Lattal, Matt","5","TBA","TBA",1,"Portland","Fall 18",NA
"2",21574,"Behavioral Neuroscience","606-0","JC: Computational/Theoretical NS","Moghaddam\David","1","1500","1630",1,"Portland","Winter 19",NA
"3",32210,"Biomedical Engineering","610NN-0","Bayesian Data Analysis","Jacobs, Peter","0.5","1300-1400","T",1,"Portland","Spring 18",NA
"4",11887,"Biomedical Engineering","607-0","Biomedical Engineering Seminar","Nellore\Heiser","0","1200-1300","F",1,"Portland","Fall 18",NA
"5",21455,"Biomedical Engineering","607-0","Biomedical Engineering Seminar","Nellore\Heiser","0","1100-1200","F",1,"Portland","Winter 19",NA
"6",22040,"Biomedical Engineering","640-0","Fluid Mechanics/Biotransport","Rugonyi, Sandra","3","1230-1400","T,Th",1,"Portland","Winter 19",NA
"7",22149,"Biomedical Engineering","680-0","Digital Signal Processing","Kain\Jacobs","3","1430-1600","T,Th",1,"Portland","Winter 19",NA
"8",22050,"Biomedical Engineering","690-0","Topics in Nanomedicine","Yantasee\Vu","3","1000-1130","M,W",1,"Portland","Winter 19",NA
"9",12554,"Biomedical Engineering","605-0","Readings in Biomedical Eng","Hinds, Monica","1","1030-1130","F",1,"Portland","Fall 18",NA
"10",31416,"Biomedical Informatics","510-DL","Intro to Biomed Informatics","Hersh, Bill","3","Online","Online",1,"Online","Spring 18",NA
"11",31417,"Biomedical Informatics","512-DL","Clinical Information Systems","Mohan, Vishnu","3","Online","Online",1,"Online","Spring 18",NA
"12",31425,"Biomedical Informatics","546-0","Software Engineering","Cohen, Aaron","3","0900-1025","W, F",1,"Portland","Spring 18",NA
"13",32010,"Biomedical Informatics","552B-0","Research Methods/Bioinformatic","Boudreau, Eilis","2","1030-1250","F",1,"Portland","Spring 18",NA
"14",31428,"Biomedical Informatics","553-0","Readings in Bioinformatics","Karstens, Lisa","1","1230-1330","T",1,"Portland","Spring 18",NA
"15",31540,"Biomedical Informatics","610-DL","Intro to Biomed Informatics","Hersh, Bill","3","Online","Online",1,"Online","Spring 18",NA
"16",31549,"Biomedical Informatics","646-0","Software Engineering","Cohen, Aaron","3","0900-1025","W, F",1,"Portland","Spring 18",NA
"17",32011,"Biomedical Informatics","652B-0","Research Methods/Bioinformatic","Boudreau, Eilis","2","1030-1250","F",1,"Portland","Spring 18",NA
"18",31567,"Biomedical Informatics","653-0","Readings in Bioinformatics","Karstens, Lisa","1","1230-1330","T",1,"Portland","Spring 18",NA
"19",11641,"Biomedical Informatics","510-DL","Intro to Biomed Informatics","Hersh, Bill","3","Online","Online",1,"Online","Fall 18",NA
"20",11642,"Biomedical Informatics","512-DL","Clinical Information Systems","Mohan, Vishnu","3","Online","Online",1,"Online","Fall 18",NA
"21",11648,"Biomedical Informatics","540-DL","Comp Science/Prog Clin Inform","Hribar, Michelle","3","Online","Online",1,"Online","Fall 18",NA
"22",11649,"Biomedical Informatics","550-0","Bio/Comp Biomed I: Algorithms","Zheng, Christina","4","1200-1330","M,W",1,"Portland","Fall 18",NA
"23",11650,"Biomedical Informatics","559-0","Computational Genetics","McWeeney, Shannon","3","1030-1155","T",1,"Portland","Fall 18",NA
"24",11651,"Biomedical Informatics","565-0","Bioinfo Programming/Scripting","Mooney, Michael","3","0900-1025","T, Th",1,"Portland","Fall 18",NA
"25",11745,"Biomedical Informatics","610-DL","Intro to Biomed Informatics","Hersh, Bill","3","Online","Online",1,"Online","Fall 18",NA
"26",11746,"Biomedical Informatics","612-DL","Clinical Information Systems","Mohan, Vishnu","3","Online","Online",1,"Online","Fall 18",NA
"27",11752,"Biomedical Informatics","650-0","Bio/Comp Biomed I: Algorithms","Zheng, Christina","4","1200-1330","M,W",1,"Portland","Fall 18",NA
"28",11777,"Biomedical Informatics","659-0","Computational Genetics","McWeeney, Shannon","3","1030-1155","T",1,"Portland","Fall 18",NA
"29",11778,"Biomedical Informatics","665-0","Bioinfo Programming/Scripting","Mooney, Michael","3","0900-1025","T, Th",1,"Portland","Fall 18",NA
"30",1268,"Biomedical Informatics","510-DL","Intro to Biomed Informatics","Hersh, Bill","3","Online","Online",1,"Online","Summer 18",NA
"31",2085,"Biomedical Informatics","518-DL","Project Management","McCormack, James","3","Online","Online",1,"Online","Summer 18",NA
