crn	department	course_number	title	instructors	credits	time	days	campus	quarter
31885	BCMB	605A-0	Protein Structure/Function JC	Shinde\Farrens	1	TBA	TBA	Portland	Spring 18
31887	BCMB	607A-0	Department Seminar Series	Hoatlin, Maureen	1	1200-1300	M,T	Portland	Spring 18
31888	BCMB	619-0	Topics Biochem/Molecular Biol	Shinde\Farrens	1	1200-1330	Th	Portland	Spring 18
32027	BEHN	606-0	JC-Qual Exam Prep	Finn\Ford	1	1400-1550	W	Portland	Spring 18
31740	BEHN	607A-0	Issues Behavior Neuroscience	Neve, Kim	1	1600-1700	W	Portland	Spring 18
32181	BEHN	620-0	Neurochem Relevant Behavior	Moghaddam, Bita	1	1600-1750	T, Th, F	Portland	Spring 18
31903	BME	607-0	Biomedical Engineering Seminar	Nellore\Heiser	0	1100-1200	F	Portland	Spring 18
32024	BME	608-0	Grant Writing & Qualifier Prep	Hinds\McCarty	1	TBA	M	Portland	Spring 18
32210	BME	610NN-0	Bayesian Data Analysis	Jacobs, Peter	0.5	1300-1400	T	Portland	Spring 18
32004	BMI	505F-0	Reading and Conference-Fellows	Gorman\McWeeney	1-5	1245-1345	Th	Portland	Spring 18
32006	BMI	507-DL	Seminar: Analytics/Healthcare	Kassakian\Pandit\Edinger	3	Online	Online	Online	Spring 18
31411	BMI	509-DL5	Practicum	Geissal, Erik	3	Online	Online	Online	Spring 18
31416	BMI	510-DL	Intro to Biomed Informatics	Hersh, Bill	3	Online	Online	Online	Spring 18
31417	BMI	512-DL	Clinical Information Systems	Mohan, Vishnu	3	Online	Online	Online	Spring 18
31422	BMI	517-DL	Organization Behavior & Mgmt	Valerius, Joanne	3	Online	Online	Online	Spring 18
31423	BMI	537-DL	Healthcare Quality	Dorr, David	3	Online	Online	Online	Spring 18
31425	BMI	546-0	Software Engineering	Cohen, Aaron	3	0900-1025	W, F	Portland	Spring 18
32010	BMI	552B-0	Research Methods/Bioinformatic	Boudreau, Eilis	2	1030-1250	F	Portland	Spring 18
31428	BMI	553-0	Readings in Bioinformatics	Karstens, Lisa	1	1230-1330	T	Portland	Spring 18
32008	BMI	576-DL	Ethical/Legal/Social Issue BMI	Valerius, Joanne	3	Online	Online	Online	Spring 18
32005	BMI	605F-0	Reading and Conference-Fellows	Gorman\McWeeney	1-6	1245-1345	Th	Portland	Spring 18
32007	BMI	607-DL	Seminar: Analytics/Healthcare	Kassakian\Pandit\Edinger	3	Online	Online	Online	Spring 18
