department	course_number	crn	title	instructors	credits	days	time	location	quarter
BSTA	500	11080	Reading & Research Biostat	Fu, Rochelle	1-3	By arrangement	Check SIS	OHSU Campus	Fall 2018
BSTA	507	11082	Field Experience	Fu, Rochelle	1-6	By arrangement	Check SIS	OHSU Campus	Fall 2018
BSTA	510	11059	Biostatistics Lab	Choi, Dongseok	3	By arrangement	Check SIS	OHSU Campus	Fall 2018
BSTA	511	11075	Est/Hypo Test Applied Biostat	Nguyen, Thuan	4	M, W	1300-1450	Check SIS	Fall 2018
BSTA	515	11060	Data Management-Analysis SAS	Nguyen, Thuan	3	T	1530-1810	Check SIS	Fall 2018
BSTA	519	11083	Appl Longitudinal Data Analysi	Fu, Rochelle	3	M	1500-1750	Check SIS	Fall 2018
BSTA	550	11061	Introduction to Probability	Niederhausen, Meike	3	M, W	1030-1200	Check SIS	Fall 2018
BSTA	525	11147	Intro to Biostatistics	Srikanth, Priya	4	OHSU Online	Check SIS	OHSU Campus	Fall 2018
BSTA	611	11062	Est/Hypo Test Applied Biostat	Nguyen, Thuan	4	M, W	1300-1450	Check SIS	Fall 2018
UNI	504	11173	Qualitative Methods/Health Pro	Marriott, Lisa	2	W	1500-1640	Check Banweb	Fall 2018
BSTA	500-RF	31100	Reading & Research Biostat	Fu, Rochelle	1-3	N/A	Check SIS	OHSU Campus	Spring 2018
BSTA	503-RF	31101	Thesis	Fu, Rochelle	1-3	N/A	Check SIS	OHSU Campus	Spring 2018
BSTA	507-RF	31119	Field Experience	Fu, Rochelle	1-6	N/A	Check SIS	OHSU Campus	Spring 2018
BSTA	510-0	31102	Biostatistics Lab	Choi, Dongseok	3	T	Arrange byInstructor	Check SIS	Spring 2018
BSTA	513-0	31103	Categorical Data Analysis	Chen, Yiyi	4	M,W	1300-1450	Check SIS	Spring 2018
BSTA	516-0	31126	Design Analysis of Surveys	Nguyen, Thuan	3	T	1300-1550	Check SIS	Spring 2018
BSTA	521-0	32187	Bayesian Methods for Data Analysis	Fu, Rochelle	3	M	1500-1750	Check SIS	Spring 2018
BSTA	523-0	31159	Design of Experiments	Park, Byung	3	R	0830-1130	Check SIS	Spring 2018
BSTA	552-0	31104	Mathematical Statistics II	Minnier, Jessica	3	M,W	1000-1130	Check SIS	Spring 2018
BSTA	613-0	31105	Categorical Data Analysis	Chen, Yiyi	4	M,W	1300-1450	Check SIS	Spring 2018
PHPM	503-JBH	31106	Thesis	Heinonen, Janne	1-12	N/A	Check SIS	OHSU Campus	Spring 2018
PHPM	504	31107	Work Experience/Internship	Heinonen, Janne	1-6	N/A	Check SIS	OHSU Campus	Spring 2018
PHPM	505-JBH	31121	Reading and Conference	Heinonen, Janne	1-6	N/A	Check SIS	OHSU Campus	Spring 2018
PHPM	507-0	31161	Sem: Community Health	Stull, John; Zaman, Atif	1	T	1730-1900	Check SIS	Spring 2018
PHPM	514-0	31127	Epidemiology III	Lambert, William	4	T,R	1300-1450	Check SIS	Spring 2018
PHPM	518	32227	Concepts of Environmental Health	Marriott, Lisa	3	W	1600-1830	Check SIS	Spring 2018
PHPM	524-0	31132	Intro to Biostatistics	Srikanth, Priya	4	T,R	0930-1120	Check SIS	Spring 2018
PHPM	576-0	32208	Chronic Disease Epidemiology	Becker, Thomas	2	R	1500-1640	Check SIS	Spring 2018
PHPM	603-0	31133	Epi Doctoral Dissertation	Marshall, Lynn	1-12	N/A	Check SIS	OHSU Campus	Spring 2018
PHPM	605-LM	31122	Reading and Conference	Marshall, Lynn	1-4	N/A	Check SIS	OHSU Campus	Spring 2018
PHPM	610-0	31123	Epi Doctoral Seminar	Snowden, Jonathan	3	W	0900-1200	Check SIS	Spring 2018
